Jour,Foret,Essence,Scierie,A
j11,LacHolmes,SPF,LebelsurQuevillon,0
j11,LacHolmes,Fir,Senneterre,0
j11,LacHolmes,Fir,LebelsurQuevillon,0
j12,LacMartin,SPF,Senneterre,0
j12,LacMartin,SPF,LebelsurQuevillon,0
j12,LacMartin,Fir,Senneterre,0
j12,LacMartin,Fir,LebelsurQuevillon,0
j12,LacDesCaches,SPF,Senneterre,11424
j12,LacDesCaches,SPF,LebelsurQuevillon,0
j12,LacDesCaches,Fir,Senneterre,0
j12,LacDesCaches,Fir,LebelsurQuevillon,0
j12,LacHolmes,SPF,Senneterre,0
j12,LacHolmes,SPF,LebelsurQuevillon,0
j12,LacHolmes,Fir,Senneterre,0
j12,LacHolmes,Fir,LebelsurQuevillon,0
j13,LacMartin,SPF,Senneterre,0
j13,LacMartin,SPF,LebelsurQuevillon,0
j13,LacMartin,Fir,Senneterre,0
j13,LacMartin,Fir,LebelsurQuevillon,0
j13,LacDesCaches,SPF,Senneterre,11424
j13,LacDesCaches,SPF,LebelsurQuevillon,0
j13,LacDesCaches,Fir,Senneterre,0
j13,LacDesCaches,Fir,LebelsurQuevillon,0
j13,LacHolmes,SPF,Senneterre,0
j13,LacHolmes,SPF,LebelsurQuevillon,0
j13,LacHolmes,Fir,Senneterre,0
j13,LacHolmes,Fir,LebelsurQuevillon,0
j14,LacMartin,SPF,Senneterre,0
j14,LacMartin,SPF,LebelsurQuevillon,0
j14,LacMartin,Fir,Senneterre,0
j14,LacMartin,Fir,LebelsurQuevillon,0
j14,LacDesCaches,SPF,Senneterre,11424
j14,LacDesCaches,SPF,LebelsurQuevillon,0
j14,LacDesCaches,Fir,Senneterre,0
j14,LacDesCaches,Fir,LebelsurQuevillon,0
j14,LacHolmes,SPF,Senneterre,0
j14,LacHolmes,SPF,LebelsurQuevillon,0
j14,LacHolmes,Fir,Senneterre,0
j14,LacHolmes,Fir,LebelsurQuevillon,0
j15,LacMartin,SPF,Senneterre,0
j15,LacMartin,SPF,LebelsurQuevillon,0
j15,LacMartin,Fir,Senneterre,0
j15,LacMartin,Fir,LebelsurQuevillon,0
j15,LacDesCaches,SPF,Senneterre,11424
j15,LacDesCaches,SPF,LebelsurQuevillon,0
j15,LacDesCaches,Fir,Senneterre,0
j15,LacDesCaches,Fir,LebelsurQuevillon,0
j15,LacHolmes,SPF,Senneterre,0
j15,LacHolmes,SPF,LebelsurQuevillon,0
j15,LacHolmes,Fir,Senneterre,0
j15,LacHolmes,Fir,LebelsurQuevillon,0
j16,LacMartin,SPF,Senneterre,0
j16,LacMartin,SPF,LebelsurQuevillon,0
j16,LacMartin,Fir,Senneterre,0
j16,LacMartin,Fir,LebelsurQuevillon,0
j16,LacDesCaches,SPF,Senneterre,11424
j16,LacDesCaches,SPF,LebelsurQuevillon,0
j16,LacDesCaches,Fir,Senneterre,0
j16,LacDesCaches,Fir,LebelsurQuevillon,0
j16,LacHolmes,SPF,Senneterre,0
j16,LacHolmes,SPF,LebelsurQuevillon,0
j16,LacHolmes,Fir,Senneterre,0
j16,LacHolmes,Fir,LebelsurQuevillon,0
j17,LacMartin,SPF,Senneterre,0
j17,LacMartin,SPF,LebelsurQuevillon,0
j17,LacMartin,Fir,Senneterre,0
j17,LacMartin,Fir,LebelsurQuevillon,0
j17,LacDesCaches,SPF,Senneterre,11424
j17,LacDesCaches,SPF,LebelsurQuevillon,0
j17,LacDesCaches,Fir,Senneterre,0
j17,LacDesCaches,Fir,LebelsurQuevillon,0
j17,LacHolmes,SPF,Senneterre,0
j17,LacHolmes,SPF,LebelsurQuevillon,0
j17,LacHolmes,Fir,Senneterre,0
j17,LacHolmes,Fir,LebelsurQuevillon,0
j18,LacMartin,SPF,Senneterre,0
j18,LacMartin,SPF,LebelsurQuevillon,0
j18,LacMartin,Fir,Senneterre,0
j18,LacMartin,Fir,LebelsurQuevillon,0
j18,LacDesCaches,SPF,Senneterre,11424
j18,LacDesCaches,SPF,LebelsurQuevillon,0
j18,LacDesCaches,Fir,Senneterre,0
j18,LacDesCaches,Fir,LebelsurQuevillon,0
j18,LacHolmes,SPF,Senneterre,0
j18,LacHolmes,SPF,LebelsurQuevillon,0
j18,LacHolmes,Fir,Senneterre,0
j18,LacHolmes,Fir,LebelsurQuevillon,0
j19,LacMartin,SPF,Senneterre,0
j19,LacMartin,SPF,LebelsurQuevillon,0
j19,LacMartin,Fir,Senneterre,0
j19,LacMartin,Fir,LebelsurQuevillon,0
j19,LacDesCaches,SPF,Senneterre,11424
j19,LacDesCaches,SPF,LebelsurQuevillon,0
j19,LacDesCaches,Fir,Senneterre,0
j19,LacDesCaches,Fir,LebelsurQuevillon,55949.446
j19,LacHolmes,SPF,Senneterre,0
j19,LacHolmes,SPF,LebelsurQuevillon,0
j19,LacHolmes,Fir,Senneterre,0
j19,LacHolmes,Fir,LebelsurQuevillon,0
j20,LacMartin,SPF,Senneterre,0
j20,LacMartin,SPF,LebelsurQuevillon,0
j20,LacMartin,Fir,Senneterre,0
j20,LacMartin,Fir,LebelsurQuevillon,0
j20,LacDesCaches,SPF,Senneterre,11424
j20,LacDesCaches,SPF,LebelsurQuevillon,0
j20,LacDesCaches,Fir,Senneterre,0
j20,LacDesCaches,Fir,LebelsurQuevillon,64736
j20,LacHolmes,SPF,Senneterre,0
j20,LacHolmes,SPF,LebelsurQuevillon,0
j20,LacHolmes,Fir,Senneterre,0
j20,LacHolmes,Fir,LebelsurQuevillon,0
j21,LacMartin,SPF,Senneterre,0
j21,LacMartin,SPF,LebelsurQuevillon,0
j21,LacMartin,Fir,Senneterre,0
j21,LacMartin,Fir,LebelsurQuevillon,0
j21,LacDesCaches,SPF,Senneterre,11424
j21,LacDesCaches,SPF,LebelsurQuevillon,0
j21,LacDesCaches,Fir,Senneterre,0
j21,LacDesCaches,Fir,LebelsurQuevillon,64736
j21,LacHolmes,SPF,Senneterre,0
j21,LacHolmes,SPF,LebelsurQuevillon,0
j21,LacHolmes,Fir,Senneterre,0
j21,LacHolmes,Fir,LebelsurQuevillon,0
j22,LacMartin,SPF,Senneterre,0
j22,LacMartin,SPF,LebelsurQuevillon,0
j22,LacMartin,Fir,Senneterre,0
j22,LacMartin,Fir,LebelsurQuevillon,0
j22,LacDesCaches,SPF,Senneterre,11424
j22,LacDesCaches,SPF,LebelsurQuevillon,0
j22,LacDesCaches,Fir,Senneterre,0
j22,LacDesCaches,Fir,LebelsurQuevillon,64736
j22,LacHolmes,SPF,Senneterre,0
j22,LacHolmes,SPF,LebelsurQuevillon,0
j22,LacHolmes,Fir,Senneterre,0
j22,LacHolmes,Fir,LebelsurQuevillon,0
j23,LacMartin,SPF,Senneterre,0
j23,LacMartin,SPF,LebelsurQuevillon,0
j23,LacMartin,Fir,Senneterre,0
j23,LacMartin,Fir,LebelsurQuevillon,0
j23,LacDesCaches,SPF,Senneterre,11424
j23,LacDesCaches,SPF,LebelsurQuevillon,0
j23,LacDesCaches,Fir,Senneterre,0
j23,LacDesCaches,Fir,LebelsurQuevillon,64736
j23,LacHolmes,SPF,Senneterre,0
j23,LacHolmes,SPF,LebelsurQuevillon,0
j23,LacHolmes,Fir,Senneterre,0
j23,LacHolmes,Fir,LebelsurQuevillon,0
j24,LacMartin,SPF,Senneterre,0
j24,LacMartin,SPF,LebelsurQuevillon,0
j24,LacMartin,Fir,Senneterre,0
j24,LacMartin,Fir,LebelsurQuevillon,0
j24,LacDesCaches,SPF,Senneterre,11424
j24,LacDesCaches,SPF,LebelsurQuevillon,0
j24,LacDesCaches,Fir,Senneterre,0
